Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
chatgpt,5.2.4,1,MIT,"Node.js client for the official ChatGPT API.",https://github.com/transitive-bullshit/chatgpt-api#readme,git+https://github.com/transitive-bullshit/chatgpt-api.git,No,""cloned-repos/airtimemedia/chat-gpt-dj""
check-disk-space,3.4.0,6,MIT,"Light multi-platform disk space checker without third party for Node.js",https://github.com/Alex-D/check-disk-space#readme,git+https://github.com/Alex-D/check-disk-space.git,No,""cloned-repos/airtimemedia/bot-video-creator-prototype, cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/oakland/oakland""
check-error,2.1.1; 1.0.3; 1.0.2,26,MIT,"Error comparison and information related utility for node and the browser",https://github.com/chaijs/check-error#readme,git+ssh://git@github.com/chaijs/check-error.git,Yes,""cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/dynamo-media-utils, cloned-repos/airtimemedia/empire-schemas, cloned-repos/airtimemedia/express-media-utils, cloned-repos/airtimemedia/final-order, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-addon-support/tests, cloned-repos/airtimemedia/node-metrics-utils, cloned-repos/airtimemedia/pch, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/turn-monitor, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/vandenberg-monitor, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite, cloned-repos/yoinc/metrics-collector/metrics-collector""
check-more-types,2.24.0,1,MIT,"Large collection of predicates.",https://github.com/kensho/check-more-types,git+https://github.com/kensho/check-more-types.git,Yes,""cloned-repos/airtimemedia/grogu-external""
check-types,11.2.2; 8.0.3; 6.0.0,7,MIT,"A little library for asserting types and values.",https://gitlab.com/philbooth/check-types.js,git+https://gitlab.com/philbooth/check-types.js.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/transcription-demo""
cheerio,1.0.0-rc.12; 1.0.0-rc.11; 0.22.0,3,MIT,"Tiny, fast, and elegant implementation of core jQuery designed specifically for the server",https://cheerio.js.org/,git://github.com/cheeriojs/cheerio.git,Yes,""cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/the-force""
cheerio-select,2.1.0,2,BSD-2-Clause,"CSS selector engine supporting jQuery selectors",https://github.com/cheeriojs/cheerio-select#readme,git://github.com/cheeriojs/cheerio-select.git,No,""cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/the-force""
chevrotain,10.5.0,2,Apache-2.0,"Chevrotain is a high performance fault tolerant javascript parsing DSL for building recursive decent parsers",https://chevrotain.io/docs/,git://github.com/Chevrotain/chevrotain.git,No,""cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/oakland/oakland""
child-process-ext,2.1.1,3,ISC,"Extensions to Node.js child_process module",https://github.com/medikoo/child-process-ext#readme,git+https://github.com/medikoo/child-process-ext.git,Yes,""cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/sd-avatar-preview""
chokidar,5.1.2; 4.0.3; 4.0.0; 3.6.0; 3.5.3; 3.5.2; 3.5.1; 3.4.3; 3.4.2; 3.3.0; 3.2.2; 3.1.0; 3.0.0; 2.3.2; 2.1.8; 2.1.1; 2.0.1; 0.1.1,60,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/airtime-lite, cloned-repos/airtimemedia/amazon-product-api, cloned-repos/airtimemedia/app-bridge, cloned-repos/airtimemedia/backend-client-js, cloned-repos/airtimemedia/bigsur, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/bot-video-creator-prototype, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/dynamo-media-utils, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-client, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/empire-schemas, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/express-media-utils, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/final-order, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine/tools, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-addon-support/tests, cloned-repos/airtimemedia/node-media-utils, cloned-repos/airtimemedia/node-metrics-utils, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/oakland/oakland, cloned-repos/airtimemedia/pch, cloned-repos/airtimemedia/phantom-menace-external, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/pubsub-service, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/skia, cloned-repos/airtimemedia/skia/modules/canvaskit, cloned-repos/airtimemedia/skia/modules/pathkit, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/text-research, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/turn-monitor, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/vandenberg-monitor, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite, cloned-repos/yoinc/metrics-collector/metrics-collector""
chownr,3.0.0; 2.0.0; 1.1.4; 1.1.2,24,BlueOak-1.0.0,"like `chown -R`",https://github.com/isaacs/chownr#readme,git://github.com/isaacs/chownr.git,Yes,""cloned-repos/airtimemedia/airtime-meet, cloned-repos/airtimemedia/bot-video-creator-prototype, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-cli, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/phantom-menace-external/lambda, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/skia/modules/canvaskit/npm_build, cloned-repos/airtimemedia/skia/tools/perf-canvaskit-puppeteer, cloned-repos/airtimemedia/skia/tools/run-wasm-gm-tests, cloned-repos/airtimemedia/text-research, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/yoda""
chroma-js,2.4.2,1,(BSD-3-Clause AND Apache-2.0),"JavaScript library for color conversions",https://github.com/gka/chroma.js,git://github.com/gka/chroma.js.git,Yes,""cloned-repos/airtimemedia/botbuilder""
chromatic,11.29.0,1,MIT,"Automate visual testing across browsers. Gather UI feedback. Versioned documentation.",https://www.chromatic.com,git+https://github.com/chromaui/chromatic-cli.git,Yes,""cloned-repos/airtimemedia/the-force""
chrome-aws-lambda,10.0.0; 5.1.0,2,MIT,"Chromium Binary for AWS Lambda and Google Cloud Functions",https://github.com/alixaxel/chrome-aws-lambda,git://github.com/alixaxel/chrome-aws-lambda.git,No,""cloned-repos/airtimemedia/phantom-menace-external/lambda, cloned-repos/airtimemedia/phantom-menace/lambda""
chrome-launcher,0.15.2; 0.13.4,2,Apache-2.0,"Launch latest Chrome with the Devtools Protocol port open",https://github.com/GoogleChrome/chrome-launcher#readme,git+https://github.com/GoogleChrome/chrome-launcher.git,No,""cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/the-force""
chrome-remote-interface,2.11.0; 0.32.2,2,Unknown,"",,,Yes,""cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/chat-gpt-dj""
chrome-trace-event,1.14.1; 1.0.4; 1.0.3; 1.0.2,13,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/app-bridge, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/pch, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/yoda""
chromium-bidi,5.1.0,1,Apache-2.0,"An implementation of the WebDriver BiDi protocol for Chromium implemented as a JavaScript layer translating between BiDi and CDP, running inside a Chrome tab.",https://github.com/GoogleChromeLabs/chromium-bidi#readme,git+https://github.com/GoogleChromeLabs/chromium-bidi.git,Yes,""cloned-repos/airtimemedia/bigsur""
chromium-edge-launcher,0.2.0,1,Apache-2.0,"Launch latest Edge with the Devtools Protocol port open",,https://github.com/cezaraugusto/chromium-edge-launcher/,No,""cloned-repos/airtimemedia/the-force""
ci-info,4.2.0; 3.9.0; 3.8.0; 3.7.1; 3.5.0; 3.3.2; 3.3.1; 3.2.0; 2.0.0; 1.6.0; 1.4.0; 1.1.3,26,MIT,"Get details about the current Continuous Integration environment",https://github.com/watson/ci-info,git+https://github.com/watson/ci-info.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/bigsur, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/client-report-processor, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/phantom-menace-external, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/sumo-log-collector, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda""
cidr-regex,3.1.1; 2.0.10,3,BSD-2-Clause,"Regular expression for matching IP addresses in CIDR notation",https://github.com/silverwind/cidr-regex#readme,git+https://github.com/silverwind/cidr-regex.git,Yes,""cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/platform-docs/website""
cipher-base,1.0.6; 1.0.4,3,MIT,"abstract base class for crypto-streams",https://github.com/crypto-browserify/cipher-base#readme,git+https://github.com/crypto-browserify/cipher-base.git,Yes,""cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/marin-devserver""
circular-dependency-plugin,5.2.2,1,ISC,"Detect modules with circular dependencies when bundling with webpack.",https://github.com/aackerman/circular-dependency-plugin#readme,git+https://github.com/aackerman/circular-dependency-plugin.git,Yes,""cloned-repos/airtimemedia/empire-admin""
citty,0.1.6,1,MIT,"Elegant CLI Builder",https://github.com/unjs/citty#readme,git+https://github.com/unjs/citty.git,No,""cloned-repos/airtimemedia/bor-gullet""
cjs-module-lexer,1.4.3; 1.3.1; 1.2.3; 1.2.2; 0.6.0,15,MIT,"Lexes CommonJS modules, returning their named exports metadata",https://github.com/nodejs/cjs-module-lexer#readme,git+https://github.com/nodejs/cjs-module-lexer.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/mos-eisley, cloned-repos/airtimemedia/sdk-admin, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/sumo-log-collector, cloned-repos/airtimemedia/text-research, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda""
class-utils,5.1.0; 3.2.2; 3.0.1; 0.3.6; 0.2.5; 0.1.6; 0.1.4,7,Unknown,"",,,Yes,""cloned-repos/airtimemedia/app-bridge, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/phantom-menace-external, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/yoda""
classnames,2.5.1; 2.3.2; 2.3.1,5,MIT,"A simple utility for conditionally joining classNames together",https://github.com/JedWatson/classnames#readme,git+https://github.com/JedWatson/classnames.git,No,""cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/sdk-admin, cloned-repos/airtimemedia/the-force""
clean-css,5.3.2; 5.3.1; 4.2.4; 4.2.3; 0.6.1,7,MIT,"A well-tested CSS minifier",https://github.com/clean-css/clean-css,git+https://github.com/clean-css/clean-css.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/pch, cloned-repos/airtimemedia/transcription-demo""
clean-regexp,1.0.0,1,MIT,"Clean up regular expressions",https://github.com/samverschueren/clean-regexp#readme,git+https://github.com/samverschueren/clean-regexp.git,Yes,""cloned-repos/airtimemedia/grogu-external""
clean-stack,3.0.1; 2.2.0,15,MIT,"Clean up error stack traces",https://github.com/sindresorhus/clean-stack#readme,git+https://github.com/sindresorhus/clean-stack.git,Yes,""cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/bot-video-creator-prototype, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/yoda""
clean-yaml-object,0.1.0,2,MIT,"Clean up an object prior to serialization",https://github.com/tapjs/clean-yaml-object#readme,git+https://github.com/tapjs/clean-yaml-object.git,Yes,""cloned-repos/airtimemedia/node-monitor-components, cloned-repos/yoinc/tecate-pinger/tecate-pinger""
cli-boxes,3.0.0; 2.2.1; 1.0.0,10,MIT,"Boxes for use in the terminal",https://github.com/sindresorhus/cli-boxes#readme,git+https://github.com/sindresorhus/cli-boxes.git,No,""cloned-repos/airtimemedia/client-report-processor, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/phantom-menace-external, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/the-force""
cli-color,2.0.4; 2.0.0; 1.4.0,3,ISC,"Colors, formatting and other tools for the console",https://github.com/medikoo/cli-color#readme,git+https://github.com/medikoo/cli-color.git,Yes,""cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/sd-avatar-preview""
cli-columns,4.0.0; 3.1.2,3,MIT,"Columnated lists for the CLI.",https://github.com/shannonmoeller/cli-columns#readme,git+https://github.com/shannonmoeller/cli-columns.git,Yes,""cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/platform-docs/website""
cli-cursor,5.0.0; 3.1.0; 2.1.0; 1.0.2,31,MIT,"Toggle the CLI cursor",https://github.com/sindresorhus/cli-cursor#readme,git+https://github.com/sindresorhus/cli-cursor.git,Yes,""cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/client-report-processor, cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/dynamo-media-utils, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-cli, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/express-media-utils, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/oakland/oakland, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite, cloned-repos/yoinc/tecate-pinger/tecate-pinger""
cli-highlight,7.2.0; 5.1.1; 4.3.0; 4.1.2; 4.0.0; 2.1.11; 2.0.1; 1.1.4,1,Unknown,"",,,No,""cloned-repos/airtimemedia/platform-docs/website""
cli-progress-footer,2.3.3; 1.1.1,2,ISC,"[![Build status][build-image]][build-url] [![Tests coverage][cov-image]][cov-url] [![npm version][npm-image]][npm-url]",https://github.com/medikoo/cli-progress-footer#readme,git+https://github.com/medikoo/cli-progress-footer.git,Yes,""cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/sd-avatar-preview""
cli-spinners,2.9.2; 2.7.0; 2.6.1; 1.3.1,8,MIT,"Spinners for use in the terminal",https://github.com/sindresorhus/cli-spinners#readme,git+https://github.com/sindresorhus/cli-spinners.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-cli, cloned-repos/airtimemedia/final-order/tooling/loadtesting/palpatine, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/yoda""
cli-sprintf-format,6.1.0; 3.0.0; 1.1.1,1,Unknown,"",,,No,""cloned-repos/airtimemedia/sd-avatar-preview""
cli-table,0.3.11,2,Unknown,"Pretty unicode tables for the CLI",https://github.com/Automattic/cli-table#readme,git+https://github.com/Automattic/cli-table.git,No,""cloned-repos/airtimemedia/platform-docs/tests, cloned-repos/airtimemedia/platform-docs/website""
cli-table3,0.6.3; 0.5.1,4,MIT,"Pretty unicode tables for the command line. Based on the original cli-table.",https://github.com/cli-table/cli-table3,git+https://github.com/cli-table/cli-table3.git,Yes,""cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/platform-docs/website""
cli-tableau,7.2.0; 3.0.0; 2.0.1,2,Unknown,"",,,No,""cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa""
cli-truncate,7.2.0; 4.0.0; 2.1.0; 0.2.1,7,Unknown,"",,,Yes,""cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/yoda""
cli-width,4.1.0; 3.0.0; 2.2.1; 2.2.0,26,ISC,"Get stdout window width, with two fallbacks, tty and then a default.",https://github.com/knownasilya/cli-width,git+ssh://git@github.com/knownasilya/cli-width.git,Yes,""cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/client-report-processor, cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/dynamo-media-utils, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/express-media-utils, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/oakland/oakland, cloned-repos/airtimemedia/phantom-menace/lambda, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/sd-avatar-preview, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite, cloned-repos/yoinc/tecate-pinger/tecate-pinger""
client-only,0.0.1,5,MIT,"This is a marker package to indicate that a module can only be used in Client Components.",https://reactjs.org/,,No,""cloned-repos/airtimemedia/airtime-meet, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/rey, cloned-repos/airtimemedia/the-force""
clipboard,2.0.6,1,MIT,"Modern copy to clipboard. No Flash. Just 2kb",https://github.com/zenorocha/clipboard.js#readme,git+https://github.com/zenorocha/clipboard.js.git,No,""cloned-repos/airtimemedia/grogu""
cliui,8.0.1; 8.0.0; 7.0.4; 7.0.0; 6.2.0; 6.0.1; 6.0.0; 5.2.0; 5.0.1; 5.0.0; 4.2.3; 4.2.0; 4.1.1; 4.1.0; 3.2.0; 3.1.0; 3.0.0; 2.1.0,71,ISC,"easily create complex multi-column command-line-interfaces",https://github.com/yargs/cliui#readme,git+https://github.com/yargs/cliui.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/airtime-lite, cloned-repos/airtimemedia/amazon-product-api, cloned-repos/airtimemedia/app-bridge, cloned-repos/airtimemedia/backend-client-js, cloned-repos/airtimemedia/bigsur, cloned-repos/airtimemedia/bixby-monitor, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/coit-tower/coit-tower, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/dynamo-media-utils, cloned-repos/airtimemedia/empire, cloned-repos/airtimemedia/empire-admin, cloned-repos/airtimemedia/empire-cli, cloned-repos/airtimemedia/empire-client, cloned-repos/airtimemedia/empire-ops, cloned-repos/airtimemedia/empire-schemas, cloned-repos/airtimemedia/eslint-config-empire, cloned-repos/airtimemedia/eureka/server-allocator, cloned-repos/airtimemedia/eureka/server-allocator/integration_tests, cloned-repos/airtimemedia/express-media-utils, cloned-repos/airtimemedia/final-order, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-palpatine/tools, cloned-repos/airtimemedia/final-order/docker-images/services/fo-service-wampa, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/grogu, cloned-repos/airtimemedia/grpc/examples/node, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/kafka-poc/mono/experiments/kafkajs.latency, cloned-repos/airtimemedia/marin-devserver, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/mos-eisley, cloned-repos/airtimemedia/node-addon-support/tests, cloned-repos/airtimemedia/node-media-utils, cloned-repos/airtimemedia/node-metrics-utils, cloned-repos/airtimemedia/node-monitor-components, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/oakland/oakland, cloned-repos/airtimemedia/pch, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/pubsub-service, cloned-repos/airtimemedia/reconnecting-websocket, cloned-repos/airtimemedia/sdk-admin, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/skia, cloned-repos/airtimemedia/skia/modules/canvaskit, cloned-repos/airtimemedia/skia/modules/canvaskit/npm_build, cloned-repos/airtimemedia/skia/modules/pathkit, cloned-repos/airtimemedia/sumo-log-collector, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/turn-monitor, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/vandenberg-addon, cloned-repos/airtimemedia/vandenberg-addon/tests, cloned-repos/airtimemedia/vandenberg-monitor, cloned-repos/airtimemedia/vandenberg/manual-test, cloned-repos/airtimemedia/vandenberg/test/kef_automation, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite, cloned-repos/yoinc/metrics-collector/metrics-collector, cloned-repos/yoinc/tecate-pinger/tecate-pinger""
