"endpoint","_timeslice","avg_msec","count"
"sessions","09/01/2024 12:00:00.000 -0700","34.2","20"
"","09/01/2024 12:44:00.000 -0700","1.0","1"
"hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input","09/01/2024 12:44:00.000 -0700","1.0","1"
"sessions","09/01/2024 12:48:00.000 -0700","52.32","25"
"","09/01/2024 12:52:00.000 -0700","1.5","2"
"","09/01/2024 12:56:00.000 -0700","11931.0","1"
"parameters","09/01/2024 13:04:00.000 -0700","1.0","1"
"sessions","09/01/2024 13:04:00.000 -0700","50.0","1"
"","09/01/2024 13:04:00.000 -0700","2.0","1"
"session_access","09/01/2024 13:04:00.000 -0700","101.0","1"
"","09/01/2024 13:12:00.000 -0700","2.0","1"
"sessions","09/01/2024 13:16:00.000 -0700","34.0","9"
"session_access","09/01/2024 13:16:00.000 -0700","76.0","5"
"parameters","09/01/2024 13:16:00.000 -0700","0.6","5"
"sessions","09/01/2024 13:20:00.000 -0700","14.0","2"
"session_access","09/01/2024 13:20:00.000 -0700","71.0","1"
"parameters","09/01/2024 13:20:00.000 -0700","1.0","1"
"sessions","09/01/2024 13:24:00.000 -0700","37.75","4"
"parameters","09/01/2024 13:24:00.000 -0700","1.0","2"
"session_access","09/01/2024 13:24:00.000 -0700","77.0","2"
"sessions","09/01/2024 13:28:00.000 -0700","14.5","2"
"session_access","09/01/2024 13:28:00.000 -0700","116.0","1"
"parameters","09/01/2024 13:28:00.000 -0700","1.0","1"
